date,region,channel,category,product,units,unit_price,discount_pct,revenue,unit_cost,cost,gross_profit
2024-06-05,North America,In-store,Beauty & Wellness,Vitamin C Serum,8,29.99,0.15,203.93,10.5,84.0,119.93
2024-06-05,North America,In-store,Electronics,Smart Speaker,2,49.99,0.0,99.98,34.99,69.98,30.0
2024-06-05,North America,In-store,Electronics,USB-C Charger,12,19.99,0.0,239.88,10.99,131.88,108.0
2024-06-05,UK & Ireland,In-store,Apparel,Wool Socks 3-pack,13,14.99,0.0,194.87,6.0,78.0,116.87
2024-06-05,UK & Ireland,In-store,Beauty & Wellness,Electric Toothbrush,2,59.99,0.0,119.98,32.99,65.98,54.0
2024-06-06,APAC,In-store,Apparel,Denim Jacket,4,69.99,0.1,251.96,34.99,139.96,112.0
2024-06-06,APAC,In-store,Home & Kitchen,Coffee Grinder,3,39.99,0.0,119.97,23.99,71.97,48.0
2024-06-06,APAC,In-store,Home & Kitchen,Cookware Set,1,129.99,0.0,129.99,84.49,84.49,45.5
2024-06-06,APAC,Online,Apparel,Running Tee,3,24.99,0.0,74.97,11.25,33.75,41.22
2024-06-06,EMEA,In-store,Beauty & Wellness,Collagen Powder,3,34.99,0.0,104.97,14.0,42.0,62.97
2024-06-06,EMEA,In-store,Beauty & Wellness,Vitamin C Serum,5,29.99,0.0,149.95,10.5,52.5,97.45
2024-06-06,EMEA,In-store,Media & Entertainment,Board Game,8,34.99,0.0,279.92,19.24,153.92,126.0
2024-06-06,EMEA,Online,Home & Kitchen,Air Fryer,4,89.99,0.0,359.96,62.99,251.96,108.0
2024-06-06,EMEA,Online,Media & Entertainment,Board Game,3,34.99,0.0,104.97,19.24,57.72,47.25
2024-06-06,North America,In-store,Electronics,USB-C Charger,10,19.99,0.15,169.91,10.99,109.9,60.01
2024-06-06,North America,Online,Apparel,Denim Jacket,3,69.99,0.2,167.98,34.99,104.97,63.01
2024-06-06,North America,Online,Apparel,Wool Socks 3-pack,2,14.99,0.0,29.98,6.0,12.0,17.98
2024-06-06,North America,Online,Home & Kitchen,Air Fryer,1,89.99,0.25,67.49,62.99,62.99,4.5
2024-06-06,North America,Online,Home & Kitchen,Coffee Grinder,2,39.99,0.0,79.98,23.99,47.98,32.0
2024-06-06,UK & Ireland,In-store,Electronics,Wireless Earbuds,3,79.99,0.0,239.97,51.99,155.97,84.0
2024-06-06,UK & Ireland,Online,Home & Kitchen,Coffee Grinder,2,39.99,0.0,79.98,23.99,47.98,32.0
2024-06-07,APAC,In-store,Apparel,Wool Socks 3-pack,5,14.99,0.0,74.95,6.0,30.0,44.95
2024-06-07,APAC,Online,Electronics,Smart Speaker,2,49.99,0.2,79.98,34.99,69.98,10.0
2024-06-07,EMEA,In-store,Home & Kitchen,Coffee Grinder,9,39.99,0.0,359.91,23.99,215.91,144.0
2024-06-07,EMEA,Online,Apparel,Running Tee,3,24.99,0.0,74.97,11.25,33.75,41.22
2024-06-07,EMEA,Online,Media & Entertainment,Vinyl Record,2,27.99,0.0,55.98,16.79,33.58,22.4
2024-06-07,LATAM,In-store,Beauty & Wellness,Vitamin C Serum,6,29.99,0.0,179.94,10.5,63.0,116.94
2024-06-07,North America,In-store,Media & Entertainment,Blu-ray Box Set,13,39.99,0.1,467.88,29.99,389.87,78.01
2024-06-07,North America,Online,Home & Kitchen,Air Fryer,10,89.99,0.0,899.9,62.99,629.9,270.0
2024-06-07,North America,Online,Home & Kitchen,Cookware Set,2,129.99,0.0,259.98,84.49,168.98,91.0
2024-06-07,North America,Online,Media & Entertainment,Board Game,8,34.99,0.0,279.92,19.24,153.92,126.0
2024-06-07,UK & Ireland,In-store,Apparel,Running Tee,16,24.99,0.25,299.88,11.25,180.0,119.88
2024-06-07,UK & Ireland,Online,Beauty & Wellness,Collagen Powder,1,34.99,0.0,34.99,14.0,14.0,20.99
2024-06-07,UK & Ireland,Online,Beauty & Wellness,Electric Toothbrush,1,59.99,0.1,53.99,32.99,32.99,21.0
2024-06-07,UK & Ireland,Online,Electronics,Smart Speaker,3,49.99,0.15,127.47,34.99,104.97,22.5
2024-06-07,UK & Ireland,Online,Media & Entertainment,Blu-ray Box Set,1,39.99,0.0,39.99,29.99,29.99,10.0
2024-06-07,UK & Ireland,Online,Media & Entertainment,Vinyl Record,5,27.99,0.0,139.95,16.79,83.95,56.0
2024-06-08,APAC,Online,Electronics,Wireless Earbuds,2,79.99,0.0,159.98,51.99,103.98,56.0
2024-06-08,EMEA,In-store,Electronics,Wireless Earbuds,7,79.99,0.0,559.93,51.99,363.93,196.0
2024-06-08,EMEA,In-store,Home & Kitchen,Air Fryer,9,89.99,0.1,728.92,62.99,566.91,162.01
2024-06-08,EMEA,In-store,Home & Kitchen,Coffee Grinder,11,39.99,0.15,373.91,23.99,263.89,110.02
2024-06-08,EMEA,In-store,Media & Entertainment,Board Game,10,34.99,0.0,349.9,19.24,192.4,157.5
2024-06-08,LATAM,In-store,Apparel,Wool Socks 3-pack,17,14.99,0.25,191.12,6.0,102.0,89.12
2024-06-08,LATAM,Online,Media & Entertainment,Blu-ray Box Set,1,39.99,0.0,39.99,29.99,29.99,10.0
2024-06-08,North America,In-store,Beauty & Wellness,Vitamin C Serum,9,29.99,0.0,269.91,10.5,94.5,175.41
2024-06-08,North America,In-store,Electronics,USB-C Charger,14,19.99,0.2,223.89,10.99,153.86,70.03
2024-06-08,North America,In-store,Media & Entertainment,Vinyl Record,8,27.99,0.15,190.33,16.79,134.32,56.01
2024-06-08,North America,Online,Apparel,Wool Socks 3-pack,4,14.99,0.0,59.96,6.0,24.0,35.96
2024-06-08,North America,Online,Electronics,USB-C Charger,7,19.99,0.0,139.93,10.99,76.93,63.0
2024-06-08,UK & Ireland,In-store,Electronics,Smart Speaker,11,49.99,0.2,439.91,34.99,384.89,55.02
2024-06-08,UK & Ireland,Online,Home & Kitchen,Cookware Set,2,129.99,0.1,233.98,84.49,168.98,65.0
2024-06-09,APAC,In-store,Media & Entertainment,Vinyl Record,7,27.99,0.0,195.93,16.79,117.53,78.4
2024-06-09,EMEA,In-store,Media & Entertainment,Blu-ray Box Set,9,39.99,0.0,359.91,29.99,269.91,90.0
2024-06-09,EMEA,Online,Electronics,Smart Speaker,3,49.99,0.0,149.97,34.99,104.97,45.0
2024-06-09,LATAM,In-store,Beauty & Wellness,Electric Toothbrush,4,59.99,0.2,191.97,32.99,131.96,60.01
2024-06-09,LATAM,Online,Media & Entertainment,Vinyl Record,4,27.99,0.0,111.96,16.79,67.16,44.8
2024-06-09,North America,In-store,Apparel,Running Tee,12,24.99,0.0,299.88,11.25,135.0,164.88
2024-06-09,North America,In-store,Beauty & Wellness,Collagen Powder,3,34.99,0.0,104.97,14.0,42.0,62.97
2024-06-09,UK & Ireland,In-store,Apparel,Denim Jacket,12,69.99,0.2,671.9,34.99,419.88,252.02
2024-06-09,UK & Ireland,In-store,Apparel,Wool Socks 3-pack,11,14.99,0.25,123.67,6.0,66.0,57.67
2024-06-09,UK & Ireland,In-store,Media & Entertainment,Board Game,11,34.99,0.25,288.67,19.24,211.64,77.03
2024-06-09,UK & Ireland,Online,Electronics,Smart Speaker,2,49.99,0.0,99.98,34.99,69.98,30.0
2024-06-10,APAC,Online,Apparel,Wool Socks 3-pack,2,14.99,0.0,29.98,6.0,12.0,17.98
2024-06-10,EMEA,In-store,Apparel,Denim Jacket,3,69.99,0.1,188.97,34.99,104.97,84.0
2024-06-10,EMEA,In-store,Media & Entertainment,Blu-ray Box Set,10,39.99,0.1,359.91,29.99,299.9,60.01
2024-06-10,EMEA,Online,Beauty & Wellness,Vitamin C Serum,1,29.99,0.0,29.99,10.5,10.5,19.49
2024-06-10,LATAM,In-store,Beauty & Wellness,Vitamin C Serum,4,29.99,0.2,95.97,10.5,42.0,53.97
2024-06-10,LATAM,In-store,Electronics,USB-C Charger,10,19.99,0.0,199.9,10.99,109.9,90.0
2024-06-10,LATAM,Online,Apparel,Wool Socks 3-pack,5,14.99,0.0,74.95,6.0,30.0,44.95
2024-06-10,North America,In-store,Apparel,Denim Jacket,7,69.99,0.0,489.93,34.99,244.93,245.0
2024-06-10,North America,In-store,Beauty & Wellness,Vitamin C Serum,4,29.99,0.0,119.96,10.5,42.0,77.96
2024-06-10,North America,In-store,Home & Kitchen,Coffee Grinder,10,39.99,0.2,319.92,23.99,239.9,80.02
2024-06-10,North America,Online,Electronics,Wireless Earbuds,3,79.99,0.0,239.97,51.99,155.97,84.0
2024-06-10,UK & Ireland,In-store,Electronics,Smart Speaker,4,49.99,0.0,199.96,34.99,139.96,60.0
2024-06-11,APAC,In-store,Electronics,USB-C Charger,10,19.99,0.1,179.91,10.99,109.9,70.01
2024-06-11,APAC,In-store,Media & Entertainment,Board Game,9,34.99,0.0,314.91,19.24,173.16,141.75
2024-06-11,APAC,Online,Beauty & Wellness,Electric Toothbrush,1,59.99,0.0,59.99,32.99,32.99,27.0
2024-06-11,APAC,Online,Media & Entertainment,Vinyl Record,2,27.99,0.0,55.98,16.79,33.58,22.4
2024-06-11,EMEA,In-store,Electronics,Smart Speaker,7,49.99,0.0,349.93,34.99,244.93,105.0
2024-06-11,EMEA,In-store,Home & Kitchen,Air Fryer,7,89.99,0.2,503.94,62.99,440.93,63.01
2024-06-11,EMEA,Online,Beauty & Wellness,Vitamin C Serum,1,29.99,0.0,29.99,10.5,10.5,19.49
2024-06-11,LATAM,In-store,Apparel,Running Tee,11,24.99,0.0,274.89,11.25,123.75,151.14
2024-06-11,LATAM,In-store,Electronics,USB-C Charger,10,19.99,0.25,149.92,10.99,109.9,40.02
2024-06-11,LATAM,Online,Home & Kitchen,Cookware Set,4,129.99,0.1,467.96,84.49,337.96,130.0
2024-06-11,North America,In-store,Electronics,USB-C Charger,13,19.99,0.0,259.87,10.99,142.87,117.0
2024-06-11,North America,In-store,Media & Entertainment,Blu-ray Box Set,3,39.99,0.0,119.97,29.99,89.97,30.0
2024-06-11,North America,Online,Home & Kitchen,Cookware Set,3,129.99,0.0,389.97,84.49,253.47,136.5
2024-06-11,North America,Online,Media & Entertainment,Vinyl Record,6,27.99,0.25,125.95,16.79,100.74,25.21
2024-06-11,UK & Ireland,In-store,Apparel,Denim Jacket,7,69.99,0.2,391.94,34.99,244.93,147.01
2024-06-11,UK & Ireland,In-store,Electronics,Smart Speaker,5,49.99,0.0,249.95,34.99,174.95,75.0
2024-06-11,UK & Ireland,Online,Electronics,Smart Speaker,2,49.99,0.0,99.98,34.99,69.98,30.0
2024-06-11,UK & Ireland,Online,Media & Entertainment,Vinyl Record,4,27.99,0.2,89.57,16.79,67.16,22.41
2024-06-12,APAC,In-store,Home & Kitchen,Air Fryer,7,89.99,0.1,566.94,62.99,440.93,126.01
2024-06-12,APAC,In-store,Home & Kitchen,Cookware Set,3,129.99,0.2,311.98,84.49,253.47,58.51
2024-06-12,EMEA,In-store,Home & Kitchen,Coffee Grinder,2,39.99,0.0,79.98,23.99,47.98,32.0
2024-06-12,EMEA,In-store,Home & Kitchen,Cookware Set,3,129.99,0.0,389.97,84.49,253.47,136.5
2024-06-12,EMEA,Online,Home & Kitchen,Air Fryer,1,89.99,0.25,67.49,62.99,62.99,4.5
2024-06-12,LATAM,In-store,Home & Kitchen,Air Fryer,10,89.99,0.15,764.91,62.99,629.9,135.01
2024-06-12,LATAM,In-store,Media & Entertainment,Vinyl Record,7,27.99,0.0,195.93,16.79,117.53,78.4
2024-06-12,LATAM,Online,Beauty & Wellness,Collagen Powder,3,34.99,0.0,104.97,14.0,42.0,62.97
2024-06-12,LATAM,Online,Home & Kitchen,Coffee Grinder,1,39.99,0.0,39.99,23.99,23.99,16.0
2024-06-12,LATAM,Online,Media & Entertainment,Vinyl Record,1,27.99,0.0,27.99,16.79,16.79,11.2
2024-06-12,North America,In-store,Home & Kitchen,Coffee Grinder,6,39.99,0.15,203.95,23.99,143.94,60.01
2024-06-12,North America,In-store,Media & Entertainment,Vinyl Record,9,27.99,0.0,251.91,16.79,151.11,100.8
2024-06-12,North America,Online,Electronics,Smart Speaker,2,49.99,0.15,84.98,34.99,69.98,15.0
2024-06-12,North America,Online,Media & Entertainment,Board Game,2,34.99,0.1,62.98,19.24,38.48,24.5
2024-06-12,UK & Ireland,Online,Electronics,Smart Speaker,1,49.99,0.15,42.49,34.99,34.99,7.5
2024-06-12,UK & Ireland,Online,Media & Entertainment,Blu-ray Box Set,2,39.99,0.0,79.98,29.99,59.98,20.0
2024-06-13,APAC,Online,Electronics,Wireless Earbuds,2,79.99,0.0,159.98,51.99,103.98,56.0
2024-06-13,EMEA,In-store,Apparel,Running Tee,11,24.99,0.0,274.89,11.25,123.75,151.14
2024-06-13,EMEA,In-store,Beauty & Wellness,Collagen Powder,3,34.99,0.0,104.97,14.0,42.0,62.97
2024-06-13,EMEA,In-store,Electronics,Wireless Earbuds,9,79.99,0.25,539.93,51.99,467.91,72.02
2024-06-13,EMEA,Online,Electronics,Smart Speaker,2,49.99,0.0,99.98,34.99,69.98,30.0
2024-06-13,EMEA,Online,Home & Kitchen,Cookware Set,1,129.99,0.0,129.99,84.49,84.49,45.5
2024-06-13,LATAM,In-store,Apparel,Denim Jacket,1,69.99,0.2,55.99,34.99,34.99,21.0
2024-06-13,LATAM,In-store,Home & Kitchen,Coffee Grinder,4,39.99,0.15,135.97,23.99,95.96,40.01
2024-06-13,LATAM,Online,Electronics,USB-C Charger,5,19.99,0.0,99.95,10.99,54.95,45.0
2024-06-13,North America,In-store,Home & Kitchen,Cookware Set,4,129.99,0.0,519.96,84.49,337.96,182.0
2024-06-13,North America,Online,Electronics,Wireless Earbuds,2,79.99,0.15,135.98,51.99,103.98,32.0
2024-06-13,North America,Online,Media & Entertainment,Board Game,7,34.99,0.0,244.93,19.24,134.68,110.25
2024-06-13,UK & Ireland,In-store,Beauty & Wellness,Vitamin C Serum,8,29.99,0.0,239.92,10.5,84.0,155.92
2024-06-14,APAC,In-store,Home & Kitchen,Coffee Grinder,8,39.99,0.25,239.94,23.99,191.92,48.02
2024-06-14,APAC,In-store,Media & Entertainment,Board Game,11,34.99,0.15,327.16,19.24,211.64,115.52
2024-06-14,APAC,Online,Apparel,Denim Jacket,3,69.99,0.0,209.97,34.99,104.97,105.0
2024-06-14,APAC,Online,Home & Kitchen,Air Fryer,3,89.99,0.0,269.97,62.99,188.97,81.0
2024-06-14,EMEA,In-store,Apparel,Running Tee,5,24.99,0.0,124.95,11.25,56.25,68.7
2024-06-14,LATAM,In-store,Home & Kitchen,Cookware Set,1,129.99,0.1,116.99,84.49,84.49,32.5
2024-06-14,LATAM,In-store,Media & Entertainment,Vinyl Record,9,27.99,0.0,251.91,16.79,151.11,100.8
2024-06-14,LATAM,Online,Apparel,Wool Socks 3-pack,4,14.99,0.25,44.97,6.0,24.0,20.97
2024-06-14,LATAM,Online,Media & Entertainment,Vinyl Record,2,27.99,0.1,50.38,16.79,33.58,16.8
2024-06-14,UK & Ireland,In-store,Apparel,Running Tee,7,24.99,0.0,174.93,11.25,78.75,96.18
2024-06-14,UK & Ireland,In-store,Beauty & Wellness,Vitamin C Serum,5,29.99,0.0,149.95,10.5,52.5,97.45
2024-06-14,UK & Ireland,In-store,Electronics,USB-C Charger,7,19.99,0.0,139.93,10.99,76.93,63.0
2024-06-14,UK & Ireland,Online,Apparel,Running Tee,2,24.99,0.0,49.98,11.25,22.5,27.48
2024-06-14,UK & Ireland,Online,Beauty & Wellness,Collagen Powder,2,34.99,0.15,59.48,14.0,28.0,31.48
2024-06-14,UK & Ireland,Online,Media & Entertainment,Board Game,5,34.99,0.0,174.95,19.24,96.2,78.75
2024-06-15,APAC,In-store,Apparel,Wool Socks 3-pack,14,14.99,0.0,209.86,6.0,84.0,125.86
2024-06-15,APAC,Online,Beauty & Wellness,Vitamin C Serum,3,29.99,0.25,67.48,10.5,31.5,35.98
2024-06-15,APAC,Online,Media & Entertainment,Blu-ray Box Set,8,39.99,0.15,271.93,29.99,239.92,32.01
2024-06-15,EMEA,In-store,Apparel,Running Tee,13,24.99,0.25,243.65,11.25,146.25,97.4
2024-06-15,LATAM,In-store,Apparel,Running Tee,20,24.99,0.2,399.84,11.25,225.0,174.84
2024-06-15,LATAM,In-store,Media & Entertainment,Blu-ray Box Set,17,39.99,0.0,679.83,29.99,509.83,170.0
2024-06-15,LATAM,Online,Beauty & Wellness,Collagen Powder,1,34.99,0.2,27.99,14.0,14.0,13.99
2024-06-15,North America,In-store,Media & Entertainment,Blu-ray Box Set,13,39.99,0.1,467.88,29.99,389.87,78.01
2024-06-15,North America,Online,Apparel,Running Tee,4,24.99,0.1,89.96,11.25,45.0,44.96
2024-06-15,UK & Ireland,In-store,Beauty & Wellness,Collagen Powder,9,34.99,0.2,251.93,14.0,126.0,125.93
2024-06-15,UK & Ireland,In-store,Electronics,USB-C Charger,5,19.99,0.0,99.95,10.99,54.95,45.0
2024-06-15,UK & Ireland,In-store,Home & Kitchen,Coffee Grinder,4,39.99,0.15,135.97,23.99,95.96,40.01
2024-06-15,UK & Ireland,In-store,Home & Kitchen,Cookware Set,2,129.99,0.0,259.98,84.49,168.98,91.0
2024-06-15,UK & Ireland,In-store,Media & Entertainment,Blu-ray Box Set,5,39.99,0.0,199.95,29.99,149.95,50.0
2024-06-15,UK & Ireland,Online,Beauty & Wellness,Vitamin C Serum,2,29.99,0.0,59.98,10.5,21.0,38.98
2024-06-16,APAC,In-store,Apparel,Denim Jacket,4,69.99,0.0,279.96,34.99,139.96,140.0
2024-06-16,APAC,In-store,Beauty & Wellness,Collagen Powder,4,34.99,0.0,139.96,14.0,56.0,83.96
2024-06-16,APAC,In-store,Beauty & Wellness,Electric Toothbrush,1,59.99,0.15,50.99,32.99,32.99,18.0
2024-06-16,APAC,In-store,Electronics,USB-C Charger,10,19.99,0.1,179.91,10.99,109.9,70.01
2024-06-16,APAC,Online,Apparel,Denim Jacket,1,69.99,0.25,52.49,34.99,34.99,17.5
2024-06-16,APAC,Online,Home & Kitchen,Air Fryer,2,89.99,0.0,179.98,62.99,125.98,54.0
2024-06-16,EMEA,In-store,Apparel,Denim Jacket,9,69.99,0.1,566.92,34.99,314.91,252.01
2024-06-16,EMEA,In-store,Home & Kitchen,Coffee Grinder,4,39.99,0.15,135.97,23.99,95.96,40.01
2024-06-16,EMEA,In-store,Home & Kitchen,Cookware Set,2,129.99,0.25,194.99,84.49,168.98,26.01
2024-06-16,EMEA,Online,Electronics,USB-C Charger,2,19.99,0.0,39.98,10.99,21.98,18.0
2024-06-16,North America,Online,Beauty & Wellness,Collagen Powder,1,34.99,0.0,34.99,14.0,14.0,20.99
2024-06-16,North America,Online,Electronics,Wireless Earbuds,4,79.99,0.25,239.97,51.99,207.96,32.01
2024-06-16,UK & Ireland,In-store,Apparel,Wool Socks 3-pack,15,14.99,0.1,202.37,6.0,90.0,112.37
2024-06-16,UK & Ireland,In-store,Beauty & Wellness,Vitamin C Serum,2,29.99,0.2,47.98,10.5,21.0,26.98
2024-06-16,UK & Ireland,In-store,Electronics,USB-C Charger,15,19.99,0.0,299.85,10.99,164.85,135.0
2024-06-16,UK & Ireland,In-store,Media & Entertainment,Vinyl Record,7,27.99,0.0,195.93,16.79,117.53,78.4
2024-06-16,UK & Ireland,Online,Apparel,Denim Jacket,1,69.99,0.0,69.99,34.99,34.99,35.0
2024-06-17,APAC,In-store,Apparel,Running Tee,6,24.99,0.0,149.94,11.25,67.5,82.44
2024-06-17,EMEA,In-store,Apparel,Wool Socks 3-pack,10,14.99,0.25,112.43,6.0,60.0,52.43
2024-06-17,EMEA,In-store,Media & Entertainment,Board Game,6,34.99,0.0,209.94,19.24,115.44,94.5
2024-06-17,LATAM,In-store,Beauty & Wellness,Electric Toothbrush,3,59.99,0.2,143.98,32.99,98.97,45.01
2024-06-17,LATAM,In-store,Electronics,Smart Speaker,3,49.99,0.0,149.97,34.99,104.97,45.0
2024-06-17,LATAM,In-store,Home & Kitchen,Air Fryer,3,89.99,0.1,242.97,62.99,188.97,54.0
2024-06-17,North America,In-store,Beauty & Wellness,Vitamin C Serum,6,29.99,0.1,161.95,10.5,63.0,98.95
2024-06-17,North America,Online,Beauty & Wellness,Collagen Powder,4,34.99,0.0,139.96,14.0,56.0,83.96
2024-06-17,North America,Online,Home & Kitchen,Coffee Grinder,1,39.99,0.0,39.99,23.99,23.99,16.0
